job_id,volume,mode,IOpattern,IOsize,nodes,ioi_bw,nfs_bw,lfs_bw,sbb_bw
5168,6105,read,uncl,359.11764705882354,1,1221.0,6867.266591676041,16455.525606469004,11831.395348837208
5168,3145733064,read,seq,1044400.0876494024,1,48395893.29230769,106113444.56063417,1663528854.5742993,802482924.4897959
5168,5242880997,read,seq,5221993.024900398,1,1048576199.4,109909039.39038196,1768853237.8542511,1260610963.452753
5168,10485761994,read,seq,5221993.024900398,1,1048576199.4,110496243.23213589,1878159053.1972058,1267927689.7218864
5168,10485760317,read,seq,10443984.379482072,1,2097152063.4,115311768.06255086,1828061422.0711298,1841869017.5654314
5168,20971520634,read,seq,10443984.379482072,1,2097152063.4,225236235.31559786,3598407795.813315,6318626283.217836
5168,307200000,write,seq,102400.0,1,61440000.0,79359338.67217773,233789954.33789954,212301313.06150657
5168,3145728000,write,seq,1048576.0,1,314572800.0,90417866.68966113,307230002.9299736,296738798.2265824
5168,31457280000,write,seq,10485760.0,1,419430400.0,106678241.99674444,324686793.6213036,362131534.4146799
5168,0,read,uncl,0.0,1,0.0,0.0,0.0,0.0
