job_id,volume,mode,IOpattern,IOsize,nodes,ioi_bw,nfs_bw,lfs_bw,sbb_bw
5168,3020948878,read,seq,1047122.6613518198,1,54926343.236363634,69763039.00422604,1929086128.9910603,1351654978.9709172
5168,5242880997,read,seq,5221993.024900398,1,1048576199.4,111380034.77651256,2025842734.5440495,2201041560.4534006
5168,10485761994,read,seq,5221993.024900398,1,1048576199.4,91902976.38830458,1791519219.8872373,1337810920.387854
5168,10485760317,read,seq,10443984.379482072,1,2097152063.4,38676144.67923442,1680141053.837526,2095475682.8537173
5168,20971520634,read,seq,10443984.379482072,1,2097152063.4,215951897.12908807,3759684588.3829327,4112062869.411765
5168,3054501888,write,seq,1048576.0,1,610900377.6,91627726.42188625,291404492.2724671,294551773.1918997
5168,2296381440,write,seq,10485760.0,1,459276288.0,87093011.71919444,283959619.1418326,320365714.28571427
5168,7361003520,write,seq,10485760.0,1,736100352.0,96188319.41667646,307490017.12686414,330282385.247005
5168,2401239040,write,seq,10485760.0,1,480247808.0,79366684.5149562,238644309.28244883,304609798.30013955
5168,7381975040,write,seq,10485760.0,1,738197504.0,99861679.06712481,310623818.22007155,332656258.8436754
5168,11481907200,write,seq,10485760.0,1,328054491.4285714,101964417.84258528,300675811.1399167,337931753.8334756
